Activation,Gradient,Optimizer,Learning Rate,Epochs,Loss,Test Accuracy,Time
relu,minibatch,none,0.07,500,0.02149878,0.957198444,39.729441
relu,batch,none,0.05,100,0.03178663,0.937743191,29.503574
relu,batch,adagrad,0.0005,50,0.045544058,0.906614786,19.63037
relu,minibatch,adagrad,0.0003,100,0.045358597,0.902723735,9.258155
relu,minibatch,momentum,0.007,500,0.047259505,0.902723735,40.984753
relu,batch,momentum,0.008,100,0.04921506,0.894941634,31.47846
relu,stochastic,adagrad,0.0003,500,0.064072142,0.86770428,24.15748
relu,stochastic,none,0.1,500,0.062194093,0.856031128,24.280456
relu,stochastic,momentum,0.002,1000,0.062654971,0.821011673,47.829769
sigmoid,batch,momentum,0.01,100,0.025113813,0.949416342,32.837641
sigmoid,batch,adagrad,0.01,50,0.037206421,0.914396887,20.113327
sigmoid,batch,none,0.05,100,0.041384159,0.910505837,30.260748
sigmoid,minibatch,momentum,0.01,500,0.038789094,0.906614786,44.463958
sigmoid,minibatch,adagrad,0.00005,500,0.048317116,0.898832685,48.4452
sigmoid,minibatch,none,0.05,500,0.048852536,0.875486381,42.736798
sigmoid,stochastic,adagrad,0.008,800,0.053204607,0.875486381,42.38147
sigmoid,stochastic,momentum,0.05,2000,0.055927734,0.844357977,105.931632
sigmoid,stochastic,none,0.1,2500,0.094677195,0.813229572,132.035891
tanh,batch,momentum,0.01,100,0.023168955,0.949416342,32.340378
tanh,batch,none,0.05,100,0.026459931,0.945525292,30.368154
tanh,minibatch,momentum,0.008,500,0.028826565,0.941634241,43.241776
tanh,minibatch,none,0.01,500,0.039043879,0.922178988,41.184278
tanh,minibatch,adagrad,0.001,200,0.034816187,0.922178988,19.033885
tanh,batch,adagrad,0.005,100,0.042124402,0.898832685,40.653121
tanh,stochastic,momentum,0.01,1000,0.069160243,0.817120623,51.461132
tanh,stochastic,none,0.05,1500,0.065033081,0.817120623,77.648534
tanh,stochastic,adagrad,0.005,500,0.08447958,0.782101167,26.288517
